V035 ,11:49:56.30 ,−18:37:43.0 ,0.6309025 ,21.260 ,0.714 ,20.879 ,0.600 ,20.255 ,0.444 ,RRab ,0.6309 ,
V046 ,11:49:36.81 ,−18:35:26.6 ,0.5931521 ,21.258 ,1.153 ,20.906 ,0.815 ,20.413 ,0.537 ,RRab ,0.6155 ,g; a 
V050 ,11:49:46.72 ,−18:32:12.9 ,0.5839523 ,21.070 ,1.466 ,20.875 ,0.745 ,20.336 ,0.625 ,RRab ,0.5877 ,g 
V052 ,11:49:40.58 ,−18:19:04.4 ,0.6290411 ,21.319 ,0.996 ,20.937 ,0.864 ,20.357 ,0.543 ,RRab ,0.6280 ,
V056 ,11:49:44.85 ,−18:35:02.3 ,0.5666522 ,21.184 ,1.264 ,20.876 ,1.008 ,20.394 ,0.746 ,RRab ,0.5658 ,
V057 ,11:49:53.68 ,−18:16:39.4 ,0.6324525 ,21.460 ,0.726 ,21.021 ,0.602 ,20.383 ,0.411 ,RRab ,0.6314 ,g 
V065 ,11:47:45.07 ,−18:23:27.0 ,0.6500526 ,21.296 ,0.748 ,20.891 ,0.590 ,20.293 ,0.454 ,RRab ,0.6513 ,g 
V066 ,11:49:47.00 ,−18:27:20.8 ,0.6203024 ,21.304 ,0.875 ,20.925 ,0.689 ,20.333 ,0.374 ,RRab ,0.6268 ,
V068 ,11:49:12.51 ,−18:19:36.5 ,0.6525526 ,21.379 ,0.486 ,20.967 ,0.382 ,20.330 ,0.317 ,RRab ,0.6478 ,
V070 ,11:49:12.03 ,−18:15:50.3 ,0.6222525 ,21.342 ,0.904 ,20.912 ,0.751 ,20.311 ,0.514 ,RRab ,0.6245 ,h 
V072 ,11:48:49.98 ,−18:28:27.5 ,0.3913809 ,21.347 ,0.379 ,20.980 ,0.240 ,20.372 ,0.143 ,RRc ,0.6553 ,d 
V073 ,11:49:30.21 ,−18:41:32.3 ,0.6457655 ,21.357 ,0.720 ,20.910 ,0.472 ,20.335 ,0.343 ,RRab ,0.6493 ,
V076 ,11:49:04.08 ,−18:09:07.6 ,0.4063514 ,21.406 ,0.413 ,21.028 ,0.266 ,20.401 ,0.231 ,RRc ,0.6516 ,d; e 
V077 ,11:49:17.36 ,−18:38:55.8 ,0.6132524 ,21.266 ,0.941 ,20.911 ,0.781 ,20.336 ,0.470 ,RRab ,0.6132 ,
V078 ,11:49:16.90 ,−18:33:54.2 ,0.6190025 ,21.403 ,0.865 ,21.007 ,0.507 ,20.437 ,0.447 ,RRab ,0.6029 ,c 
V083 ,11:48:45.47 ,−18:09:58.5 ,0.6208012 ,21.382 ,1.197 ,20.916 ,0.818 ,20.350 ,0.518 ,RRab ,0.6229 ,
V092 ,11:48:58.03 ,−18:22:07.7 ,0.4149109 ,21.247 ,0.372 ,20.850 ,0.223 ,20.263 ,0.173 ,RRc ,0.7084 ,f 
V097 ,11:49:16.15 ,−18:18:35.4 ,0.3067604 ,21.625 ,0.649 ,21.322 ,0.406 ,20.867 ,0.364 ,uncertain ,0.2347 ,d 
V098 ,11:48:38.19 ,−18:35:39.7 ,0.5095519 ,21.664 ,0.454 ,21.212 ,0.300 ,20.725 ,0.261 ,uncertain ,– ,d 
