Star,Log Period,Wesenheit Magnitude,Uncertainty in Wesenheit Magnitude,Star Code
Star 1487,-0.450261268735101,18.5402,0.02,83
Star 1488,-0.5453075507605232,18.6309,0.02,84
Star 1489,-0.48664920119404304,18.739,0.02,85
Star 1490,-0.4250432242354932,18.6002,0.02,86
Star 1491,-0.5100415205751654,18.5377,0.02,87
Star 1492,-0.5269511949114623,18.4355,0.02,88
Star 1493,-0.37499639898513654,18.4556,0.02,89
Star 1494,-0.39008558991400233,18.3717,0.02,90
Star 1495,-0.3932962586663257,18.4173,0.02,91
Star 1496,-0.4882502886550172,18.5052,0.02,92
Star 1497,-0.4705696456330141,18.592,0.02,93
Star 1498,-0.4737899961583357,18.5116,0.02,94
Star 1499,-0.5382014424748907,18.7455,0.02,95
Star 1500,-0.5051499783199059,18.6317,0.02,96
Star 1501,-0.375614758579735,18.4112,0.02,97
Star 1502,-0.41953121604899835,18.5928,0.02,98
Star 1503,-0.4371126187061207,18.4984,0.02,99
Star 1504,-0.4292236312052518,18.5223,0.02,100
Star 1505,-0.4838614232829256,18.6398,0.02,101
Star 1506,-0.5284149458148103,18.672,0.02,102
Star 1507,-0.41116827440579273,18.47,0.02,103
Star 1508,-0.460422116654691,18.4819,0.02,104
Star 1509,-0.507938395487401,18.6285,0.02,105
Star 1510,-0.43320908761840826,18.5068,0.02,106
Star 1511,-0.38362952770873054,18.4698,0.02,107
Star 1512,-0.44502654166676014,18.5948,0.02,108
Star 1513,-0.361011840656318,18.3119,0.02,109
Star 1514,-0.5385014732169814,18.5925,0.02,110
Star 1515,-0.364918563989127,18.4072,0.02,111
Star 1516,-0.4377071355435253,18.4533,0.02,112
Star 1517,-0.4559319556497244,18.4828,0.02,113
Star 1518,-0.5469876088785448,18.8531,0.02,114
Star 1519,-0.3832095136702842,18.4311,0.02,115
Star 1520,-0.37283904762522424,18.3798,0.02,116
Star 1521,-0.3517375942519555,18.4719,0.02,117
Star 1522,-0.3811155150045496,18.3325,0.02,118
Star 1523,-0.39147396642280585,18.4467,0.02,119
Star 1524,-0.47612352436186867,18.5517,0.02,120
Star 1525,-0.3939412505896856,18.5799,0.02,121
Star 1526,-0.3540867249661558,18.2563,0.02,122
Star 1527,-0.5152731957013381,18.4532,0.02,123
Star 1528,-0.42308304403479297,18.4579,0.02,124
Star 1529,-0.42078821976850084,18.6132,0.02,125
Star 1530,-0.41049720373623627,18.5205,0.02,126
Star 1531,-0.54500278269054,18.6289,0.02,127
Star 1532,-0.384049948343599,18.6446,0.02,128
Star 1533,-0.5295895090240693,18.6755,0.02,129
Star 1534,-0.5054280157698013,18.7741,0.02,130
Star 1535,-0.3653212478213177,18.3194,0.02,131
Star 1536,-0.547293773488971,18.7231,0.02,132
Star 1537,-0.4042833800565756,18.4517,0.02,133
Star 1538,-0.36967384519605323,18.2727,0.02,134
Star 1539,-0.5158425756346193,18.8034,0.02,135
Star 1540,-0.4913356369470573,18.6538,0.02,136
Star 1541,-0.47340229089654784,18.6393,0.02,137
Star 1542,-0.3812199754937852,18.4601,0.02,138
Star 1543,-0.4457531918338894,18.4583,0.02,139
Star 1544,-0.5061238891471771,18.7037,0.02,140
Star 1545,-0.41072077876403273,18.6464,0.02,141
Star 1546,-0.4122890349810886,18.3969,0.02,142
Star 1547,-0.35066514128785814,18.4481,0.02,143
Star 1548,-0.38489201255680594,18.2979,0.02,144
Star 1549,-0.5250556645346122,18.7776,0.02,145
Star 1550,-0.4383024673460066,18.4593,0.02,146
Star 1551,-0.5468346074741428,18.7903,0.02,147
Star 1552,-0.42910696378160773,18.5446,0.02,148
Star 1553,-0.49308927444848194,18.8246,0.02,149
Star 1554,-0.40638169187046413,18.5711,0.02,150
Star 1555,-0.42273804641418516,18.5003,0.02,151
Star 1556,-0.3881705205016262,18.4003,0.02,152
Star 1557,-0.4194171231856328,18.5059,0.02,153
Star 1558,-0.4594202834955457,18.5137,0.02,154
Star 1559,-0.5483670525430092,18.8358,0.02,155
Star 1560,-0.48280410205002566,18.4248,0.02,156
Star 1561,-0.3898723869240046,18.6122,0.02,157
Star 1562,-0.3590219426416679,18.4311,0.02,158
Star 1563,-0.37530546872791865,18.3037,0.02,159
Star 1564,-0.4625587165920524,18.6202,0.02,160
Star 1565,-0.5030703519267851,18.7857,0.02,161
Star 1566,-0.5380515047962382,18.7128,0.02,162
Star 1567,-0.3532043112215306,18.1761,0.02,163
Star 1568,-0.45456917053464874,18.5353,0.02,164
Star 1569,-0.4441803169388089,18.6288,0.02,165
Star 1570,-0.48122293107322517,18.643,0.02,166
Star 1571,-0.461929212956828,18.5394,0.02,167
Star 1572,-0.48744900709578926,18.7451,0.02,168
Star 1573,-0.4816176844546561,18.6554,0.02,169
Star 1574,-0.3733517315259897,18.4226,0.02,170
Star 1575,-0.509900994936695,18.6181,0.02,171
Star 1576,-0.37468754903832613,18.3649,0.02,172
Star 1577,-0.4897231555826451,18.5162,0.02,173
Star 1578,-0.43320908761840826,18.5016,0.02,174
Star 1579,-0.45271769203669676,18.6576,0.02,175
Star 1580,-0.5306198641500748,18.6897,0.02,176
Star 1581,-0.5279753022997186,18.6901,0.02,177
Star 1582,-0.5135695211455662,18.7434,0.02,178
Star 1583,-0.451979305094469,18.6536,0.02,179
Star 1584,-0.4972998246894373,18.6242,0.02,180
Star 1585,-0.45259454033251034,18.4628,0.02,181
Star 1586,-0.5238932831598085,18.65,0.02,182
Star 1587,-0.43050904565121695,18.6814,0.02,183
Star 1588,-0.544089759617257,18.7306,0.02,184
Star 1589,-0.5364055978129998,18.8399,0.02,185
Star 1590,-0.49825627037200554,18.6268,0.02,186
Star 1591,-0.405828520885088,18.4345,0.02,187
Star 1592,-0.3763372926437954,18.3986,0.02,188
Star 1593,-0.5210008683266428,18.7197,0.02,189
Star 1594,-0.38310457359924005,18.5207,0.02,190
Star 1595,-0.520856752021387,18.7646,0.02,191
Star 1596,-0.44818417764898444,18.617,0.02,192
Star 1597,-0.43132902199010326,18.4958,0.02,193
Star 1598,-0.5306198641500748,18.626,0.02,194
Star 1599,-0.47082639673827703,18.4363,0.02,195
Star 1600,-0.4653394241715556,18.6446,0.02,196
Star 1601,-0.4618034216505458,18.5682,0.02,197
Star 1602,-0.4242350194632806,18.5569,0.02,198
