,Star,Log Period,Wesenheit Magnitude,Uncertainty in Wesenheit Magnitude,Distance Modulus,Uncertainty in Distance Modulus,Metallicity,Star Code
19,RU Psc,-0.2815291279630137,9.093788999999997,0.004,10.134354024001507,0.18480616251202206,-1.75,19
20,RU Scl,-0.3068404659994043,9.169789,0.004,9.463892105937353,0.05370711306009234,-1.27,20
21,RV CrB,-0.3522807152502143,10.467743000000002,0.006999999999999999,10.837449352468818,0.0958002533610114,-1.69,21
22,RV Oct,-0.24324031414801367,9.428394000000003,0.006999999999999999,9.950246721417102,0.02507442919900157,-1.71,22
23,RV UMa,-0.32969847171499234,9.785875,0.021,10.111379165555762,0.06857281293209239,-1.2,23
24,RX Eri,-0.23117977001808754,8.305814999999997,0.003,8.81867687299078,0.028367224673927206,-1.33,24
25,RZ Cep,-0.3834915084220839,7.794916999999998,0.018401,8.10797149525931,0.027256975851668516,-1.77,25
26,ST Boo,-0.2060099695299767,9.815048000000004,0.012,10.50239050255379,0.05859542580234604,-1.76,26
27,ST CVn,-0.3557447041312934,10.379804000000004,0.01,10.48454819304028,0.0814302153568597,-1.07,27
28,SU Dra,-0.18017977656471143,8.559834999999998,0.006999999999999999,9.347713382493449,0.02314381238957694,-1.8,28
29,SV Eri,-0.14639121099923086,8.54281,0.004,9.33082615732414,0.03765999362870906,-1.7,29
30,SV Hya,-0.32007921363934044,9.356306999999997,0.006,9.677102866553458,0.051461842486592316,-1.5,30
31,SV Scl,-0.2962487402898474,10.477412999999999,0.004,11.378618467996056,0.16388471015217046,-1.77,31
32,SW And,-0.3543221420188453,8.401759,0.010934000000000001,8.499791625568516,0.0309540463430405,-0.24,32
33,SW Dra,-0.24437670415176363,9.252302000000004,0.006999999999999999,9.850991672707515,0.03787688218035082,-1.12,33
34,SX UMa,-0.38569501189378474,10.068427999999999,0.01,10.539525426547598,0.11135755946237225,-1.81,34
35,T Sex,-0.36153830975290246,9.146347,0.008,9.463943287760658,0.06785851279738309,-1.34,35
36,TT Lyn,-0.22370980724590014,8.533154999999999,0.011,9.148967151090384,0.023483734309973758,-1.56,36
37,TU UMa,-0.2536315180084685,8.589901000000001,0.006999999999999999,8.993010946397742,0.08194235507608523,-1.51,37
38,TV Boo,-0.3780651150469646,10.162021999999997,0.009000000000000001,10.539525426547597,0.08351816959677917,-2.44,38
39,TW Her,-0.3983744074164751,10.183256,0.005,10.224579828904536,0.03537436538307999,-0.69,39
40,UU Vir,-0.32275002708798844,9.468119000000002,0.006999999999999999,9.461862581123723,0.08004394139422184,-0.87,40
41,UV Oct,-0.26553621877516176,8.161022999999998,0.006999999999999999,8.664942201614595,0.01443898198518253,-1.74,41
42,UY Boo,-0.18653243647554374,9.695967000000003,0.009000000000000001,10.459626662802028,0.06204263856126097,-2.56,42
43,UY Cam,-0.4464441728741376,10.766900000000001,0.055873000000000006,10.624690251041498,0.14476482730108392,-1.33,43
44,UY Cyg,-0.2512657415316556,9.615800000000004,0.017,10.06929498522391,0.04703544573222468,-0.8,44
45,V Ind,-0.3191192861667862,8.829779000000002,0.006,9.111114278609536,0.027573307529653278,-1.5,45
46,V0440 Sgr,-0.32104587898703396,9.061231,0.008,9.260289544835508,0.03276970323222346,-1.4,46
47,V0675 Sgr,-0.19226931290675137,8.872074000000001,0.006999999999999999,9.605275526087807,0.03409261138486385,-2.28,47
48,VX Her,-0.3416452741940381,9.591185000000003,0.009000000000000001,9.882222505454799,0.05585263041778392,-1.58,48
49,W Crt,-0.38508740473312725,10.465256,0.006999999999999999,10.374425136240445,0.06544380475165947,-0.54,49
50,WY Ant,-0.24082670166730225,9.550891000000004,0.004,10.046662928297154,0.04622246976452107,-1.48,50
51,X Ari,-0.18630369520671122,7.849902000000002,0.008466999999999999,8.641958959070081,0.02189378530279989,-2.43,51
52,XX And,-0.14100769343571815,9.366023000000002,0.009000000000000001,10.254102440765383,0.04916768192912016,-1.94,52
53,XZ Cyg,-0.33105587984693996,8.638464,0.008,8.98030455069012,0.019955913745545322,-1.44,53
54,YZ Cap,-0.43611206671714076,10.318133999999997,0.006999999999999999,10.277576811249157,0.17273075984788425,-1.06,54
