V24 RRab 0.607729 23.20 22.78 22.57 22.25 0.66 0.76 0.30 - A 10 08 02.45 +12 18 07.4
V25 RRab 0.5615871 23.11 22.68 22.54 - 0.84 1.03 - - A 10 08 03.48 +12 19 58.0
V26 RRab 0.541359 23.02 22.64 - 9.999 1.16 1.13 - - B 10 08 04.08 +12 15 57.6
V28 RRc 0.385380 22.94 22.67 22.49 22.12 0.72 0.44 0.38 - B 10 08 05.74 +12 19 24.9
V31 RRab 0.6026533 23.07 22.77 22.49 - 1.19 0.96 0.70 - A 10 08 07.07 +12 21 32.5
V32 RRab 0.580355 22.97 22.66 22.44 22.27 1.05 0.88 0.51 - A 10 08 07.68 +12 18 50.1
V35 RRab 0.626002 23.08 22.73 22.57 - 0.57 0.64 0.22 - A 10 08 08.25 +12 13 48.6
V36 RRab 0.558055 23.07 22.70 22.75 22.23 0.72 0.85 0.14 - A 10 08 08.27 +12 15 13.0
V37 RRab 0.5865854 22.96 22.74 22.66 22.10 1.04 1.08 0.78 - B 10 08 08.52 +12 13 15.9
V38 RRab 0.5694029 22.94 22.66 22.40 21.92 1.05 0.90 0.38 - A 10 08 08.82 +12 21 23.8
V42 RRab 0.590415 22.89 22.59 22.44 21.91 0.93 0.84 0.26 - A 10 08 10.01 +12 16 16.7
V43 RRab 0.518913 23.11 22.65 22.01 21.98 0.70 0.60 0.50 - B 10 08 10.30 +12 15 14.9
V44 RRab 0.5368825 22.82 22.53 22.50 21.84 1.32 0.96 - - A 10 08 10.75 +12 18 28.9
V47 RRc 0.3741098 22.89 22.59 22.42 22.22 0.43 0.40 0.31 - A 10 08 11.42 +12 17 55.8
V49 RRab 0.6106710 23.11 22.79 22.48 22.05 0.85 0.63 0.48 - A 10 08 12.23 +12 20 50.1
V51 RRab 0.631211 23.09 22.62 22.46 21.98 0.38 0.43 0.27 - B 10 08 12.36 +12 18 53.0
V52 RRab 0.5576776 22.99 22.66 22.57 22.14 1.30 1.03 0.40 - A 10 08 12.45 +12 17 09.2
V53 RRab 0.5541654 22.87 22.54 22.09 22.01 1.23 0.94 0.54 - A 10 08 12.53 +12 17 54.7
V56 RRc 0.3591109 22.82 22.56 22.44 22.08 0.58 0.48 0.44 - A 10 08 13.29 +12 16 41.7
V57\sRRab 0.5644922 22.91 22.42 22.06 21.74 0.78 0.54 0.44 - A 10 08 14.05 +12 15 06.2
V58 RRc 0.368497 22.86 22.58 22.59 22.15 0.71 0.58 0.24 - A 10 08 14.18 +12 15 30.2
V59 RRab 0.635755 22.87 22.41 22.04 21.71 0.62 0.40 0.32 0.25 A 10 08 14.20 +12 17 38.2
V60 RRc 0.3755769 22.95 22.69 22.54 22.24 0.55 0.43 0.38 - A 10 08 14.30 +12 15 17.5
V63 RRab 0.517857 22.90 22.73 22.77 22.09 1.52 1.20 - - B 10 08 15.37 +12 17 32.4
V64 RRab 0.5419958 23.00 22.77 22.41 22.19 1.14 1.06 0.67 - A 10 08 15.38 +12 15 09.6
V65 RRab 0.5252377 22.89 22.55 22.49 22.36 1.38 1.09 0.40 - A 10 08 15.52 +12 16 27.9
V66 RRab 0.5413377 23.05 22.79 22.30 21.94 1.32 1.35 1.28 - A 10 08 15.70 +12 16 51.8
V67 RRab 0.5505050 23.08 22.76 22.44 22.11 1.19 0.95 0.57 - A 10 08 16.12 +12 17 52.5
V68 RRab 0.5348781 22.82 22.63 22.67 22.23 1.76 1.22 0.90 - A 10 08 16.32 +12 18 24.3
V70 RRab 0.5559762 23.02 22.78 22.41 22.43 1.16 0.73 0.53 - A 10 08 16.44 +12 18 12.1
V72 RRab 0.601951 23.10 22.78 22.47 22.27 0.57 0.54 0.29 - A 10 08 16.79 +12 22 03.7
V73 RRab 0.547411 22.95 22.63 22.75 - 1.46 1.18 0.80 - A 10 08 17.01 +12 13 37.0
V74 RRab 0.5097438 22.98 22.71 22.35 22.33 2.17 1.27 0.54 - A 10 08 17.44 +12 22 04.6
V76 RRab 0.548736 23.01 22.71 22.45 22.37 1.16 1.11 0.42 - A 10 08 17.59 +12 15 25.1
V77 RRab 0.5883625 22.99 22.67 22.62 21.86 1.15 1.08 0.45 - A 10 08 17.93 +12 21 51.1
V79 RRc 0.417855 22.90 22.69 22.52 22.15 0.83 0.47 - - C 10 08 18.55 +12 11 07.5
V80 RRc 0.3866383 22.66 22.44 22.33 22.03 0.50 0.47 0.31 0.19 A 10 08 18.99 +12 16 23.3
V81 RRab 0.596522 23.15 22.82 22.50 22.23 0.85 0.62 0.59 - A 10 08 19.12 +12 15 31.5
V82 RRab 0.5711366 23.12 22.77 22.72 22.14 1.34 1.02 - - A 10 08 19.43 +12 21 59.7
V83 RRab 0.6778582 22.36 21.82 21.62 21.17 0.53 0.38 - - C 10 08 19.84 +12 18 27.4
V84 RRab 0.615537 22.90 22.52 22.49 21.84 1.71 1.08 0.31 - A 10 08 19.88 +12 14 47.4
V85 RRc 0.3175981 22.67 22.45 22.13 22.11 0.61 0.50 0.25 - A 10 08 19.90 +12 18 58.7
V86 RRc 0.2851411 23.01 22.55 22.41 - 0.92 0.84 0.29 - B 10 08 19.91 +12 26 28.2
V87 RRab 0.651948 23.02 22.64 22.35 21.91 0.60 0.46 0.34 - A 10 08 19.93 +12 15 55.3
V88 RRc 0.3173750 22.96 22.72 22.57 22.45 0.73 0.75 - - B 10 08 19.99 +12 23 03.1
V89 RRab 0.5300555 22.85 22.64 22.49 22.27 1.40 0.92 0.83 - A 10 08 20.11 +12 16 12.9
V91 RRab 0.602603 23.14 22.72 22.58 - 0.69 0.72 0.64 - A 10 08 20.58 +12 24 18.3
V92 RRab 0.6304080 22.44 22.23 21.96 21.75 0.99 0.80 0.67 0.12 B 10 08 20.77 +12 19 26.9
V93 RRab 0.5911859 22.89 22.47 22.26 21.86 1.00 0.70 0.50 0.25 A 10 08 20.94 +12 16 32.6
V96 RRab 0.6429762 22.68 22.43 22.22 22.04 1.08 0.76 0.70 - A 10 08 21.47 +12 18 54.8
V97 RRab 0.591565 23.14 22.77 22.62 22.21 0.58 0.35 0.25 - C 10 08 21.52 +12 23 45.1
V98 RRab 0.626239 22.96 22.63 22.47 22.24 1.27 0.89 0.70 - A 10 08 21.53 +12 14 27.1
V99 RRab 0.574072 23.28 22.92 22.66 22.45 1.19 0.73 - - B 10 08 21.68 +12 15 46.3
V101 RRab 0.7071830 22.92 22.62 22.29 22.00 0.86 0.78 0.78 - B 10 08 21.86 +12 21 54.3
V102 RRab 0.952880 22.88 22.39 22.57 22.34 0.73 1.18 - - C 10 08 22.21 +12 15 54.6
V105 RRab 0.5541252 23.10 22.74 22.67 22.01 1.41 1.03 0.30 - A 10 08 22.92 +12 14 36.6
V106 RRab 0.6021605 22.90 22.51 22.21 22.02 1.31 0.97 0.57 - A 10 08 23.12 +12 16 16.8
V107 RRab 0.5573474 22.94 22.63 22.47 22.37 1.11 1.04 0.75 - B 10 08 23.20 +12 16 35.9
V108 RRab 0.5467398 22.59 22.15 21.84 21.49 0.96 0.52 0.43 0.40 C 10 08 23.36 +12 19 07.1
V110 RRab 0.6124265 22.85 22.57 22.50 22.04 0.84 0.49 0.21 - C 10 08 23.41 +12 20 30.7
V111 RRab 0.6183992 22.82 22.56 22.22 22.11 1.26 0.93 0.50 - A 10 08 23.80 +12 17 26.0
V112 RRab 0.5880014 22.31 21.81 21.47 21.12 0.69 0.44 - - C 10 08 24.26 +12 17 27.5
V116 RRab 0.5593915 22.92 22.60 22.26 22.18 1.34 1.19 0.66 - B 10 08 24.72 +12 17 17.1
V117 RRab 0.4948878 22.43 22.19 22.13 21.60 0.52 0.50 - - B 10 08 24.76 +12 19 13.5
V118 RRab 0.5966387 22.89 22.61 22.35 22.19 1.06 0.75 0.70 - A 10 08 25.36 +12 17 31.4
V119 RRc 0.3769470 22.95 22.66 22.52 - 0.51 0.47 0.34 - A 10 08 25.55 +12 23 28.1
V121 RRab 0.5797797 22.94 22.69 22.33 21.92 1.24 0.85 0.47 - A 10 08 25.61 +12 15 35.5
V124 RRab 0.5866781 23.08 22.72 19.95 22.16 1.21 0.82 0.73 - B 10 08 26.01 +12 18 49.9
V125 RRab 0.5942164 22.96 22.76 22.58 22.28 1.04 0.78 0.58 - B 10 08 26.22 +12 21 53.4
V127 RRab 0.5511360 22.18 21.64 21.22 20.88 0.55 0.29 0.20 0.10 B 10 08 26.42 +12 21 42.4
V128 RRab 0.5398457 23.00 22.76 22.94 - 1.35 1.00 0.31 - A 10 08 26.61 +12 24 11.1
V132 RRab 0.5881914 23.09 22.76 22.46 22.18 1.26 1.00 0.82 - A 10 08 27.00 +12 15 11.7
V134 RRab 0.8547496 22.94 22.57 22.48 21.98 0.80 0.64 - - A 10 08 27.26 +12 15 44.5
V135 RRab 0.5886723 23.03 22.53 22.25 21.99 1.35 0.77 0.51 - A 10 08 27.35 +12 20 42.7
37 RRab 0.5978996 23.19 22.81 22.74 22.02 1.08 0.83 - - A 10 08 27.61 +12 20 12.7
V138 RRab 0.5881765 23.13 22.79 22.75 22.32 0.84 0.69 0.42 - A 10 08 27.87 +12 16 14.6
V141 RRc 0.3667905 22.80 22.49 22.28 22.10 0.54 0.43 0.46 - A 10 08 28.13 +12 15 29.3
V142 RRab 0.5871330 22.93 22.51 22.21 21.87 1.12 0.82 0.43 - A 10 08 28.23 +12 17 13.3
V148 RRab 0.5599570 22.35 21.86 21.51 21.07 0.58 0.37 0.31 0.28 B 10 08 28.84 +12 20 12.2
V149 RRc 0.3703344 22.99 22.67 22.45 22.11 0.65 0.47 0.36 - A 10 08 28.94 +12 15 01.2
V151 RRab 0.6250526 22.80 22.46 22.15 21.91 0.69 0.59 0.56 0.44 C 10 08 29.40 +12 18 21.3
V152 RRab 0.5552238 23.07 22.76 22.56 22.21 1.20 0.77 1.64 - A 10 08 29.40 +12 16 33.3
V153 RRab 0.5612972 23.08 22.70 22.82 22.20 1.12 1.07 0.19 - A 10 08 29.41 +12 23 48.3
V156 RRab 0.646932 23.35 22.92 22.58 22.23 0.64 0.57 0.55 0.36 C 10 08 30.41 +12 17 16.3
V157 RRab 0.4903282 22.94 22.80 22.44 22.47 1.45 0.93 - - B 10 08 30.55 +12 18 37.8
V158 RRc 0.3446077 22.87 22.58 22.38 22.12 0.61 0.45 - - B 10 08 30.60 +12 15 11.0
V165 RRc 0.3231045 23.01 22.78 22.76 22.34 0.80 0.49 0.69 0.21 A 10 08 31.56 +12 21 48.1
V166 RRc 0.3872139 22.83 22.58 22.41 21.94 0.58 0.42 0.36 0.82 B 10 08 31.55 +12 15 59.4
V168 RRab 0.579400 23.00 22.64 22.57 21.96 1.12 1.02 0.52 - A 10 08 31.78 +12 23 35.3
V169 RRab 0.5494407 23.25 22.85 22.68 22.19 1.16 0.91 0.35 0.30 A 10 08 31.94 +12 17 01.9
V170 RRc 0.3890384 22.61 22.39 22.15 21.98 0.68 0.51 0.53 - B 10 08 31.94 +12 16 56.2
V171 RRab 0.5608915 22.98 22.76 22.12 21.81 1.13 1.09 0.70 - A 10 08 32.06 +12 13 49.0
V172 RRab 0.615115 23.33 22.87 22.55 22.26 0.85 0.52 0.42 - C 10 08 32.13 +12 16 35.3
V174 RRab 0.5950424 23.02 22.67 22.42 22.14 0.73 0.65 0.32 - B 10 08 32.24 +12 16 33.5
V175 RRab 0.6380987 22.88 22.60 22.38 22.02 0.43 0.39 0.46 - C 10 08 32.51 +12 16 04.9
V176 RRab 0.573147 22.38 21.85 21.51 21.11 0.74 0.54 - - C 10 08 33.07 +12 17 15.5
V180 RRab 0.619147 22.96 22.72 22.43 22.19 1.24 0.85 0.49 - A 10 08 34.12 +12 23 43.2
V185 RRab 0.738784 22.88 22.49 22.16 21.80 1.15 0.86 0.69 - A 10 08 35.94 +12 22 49.2
V186 RRab 0.6128591 22.89 22.58 22.27 22.03 1.26 0.89 0.56 - A 10 08 36.05 +12 21 27.8
V187 RRab 0.631086 22.80 22.43 22.18 21.81 0.70 0.58 0.36 - A 10 08 36.09 +12 19 33.3
V188 RRab 0.622437 23.20 22.74 22.65 22.07 0.42 0.50 0.21 - B 10 08 36.31 +12 27 15.9
V189 RRab 0.6313365 23.01 22.57 22.17 22.01 1.22 0.93 0.73 - A 10 08 36.88 +12 19 45.0
V192 RRab 0.667686 22.93 22.59 22.38 22.10 0.60 0.66 0.60 - A 10 08 37.44 +12 20 44.6
V196 RRc 0.352561 22.86 22.65 22.55 22.16 0.80 0.61 0.37 - C 10 08 38.87 +12 21 52.8
V198 RRc 0.364983 22.95 22.68 22.52 22.17 0.56 0.41 0.38 - A 10 08 39.35 +12 16 09.2
V201 RRab 0.5663093 23.05 22.76 22.58 22.04 1.26 1.02 0.42 - A 10 08 40.00 +12 19 18.4
V202 RRab 0.581068 23.05 22.69 22.58 21.95 1.23 0.67 0.21 - A 10 08 40.10 +12 14 28.5
V204 RRab 0.748624 22.86 22.54 22.18 21.98 1.55 1.01 0.79 0.65 A 10 08 40.36 +12 18 53.7
V205 RRab 0.6199640 22.92 22.60 22.29 22.16 1.08 0.86 0.48 - A 10 08 40.63 +12 19 18.7
V207 RRab 0.568369 22.98 22.66 22.56 22.29 1.25 0.86 0.43 - B 10 08 41.00 +12 19 57.9
V213 RRab 0.602289 22.75 22.53 22.48 21.96 1.22 1.00 0.80 - A 10 08 42.91 +12 20 38.9
V214 RRc 0.3190927 22.83 22.60 22.65 22.07 0.72 0.63 0.25 - A 10 08 44.37 +12 21 30.6
V216 RRab 0.723219 22.98 22.64 22.26 21.99 0.79 0.71 0.30 0.69 B 10 08 44.45 +12 21 33.4
V217 RRab 0.541640 23.04 22.72 22.49 22.25 0.88 1.01 0.52 0.66 C 10 08 45.15 +12 20 00.5
V218 RRc 0.371302 22.98 22.68 22.49 22.09 0.58 0.40 0.35 - B 10 08 47.40 +12 21 08.0
V219 RRab 0.587327 23.12 22.77 22.47 22.09 1.53 0.90 0.75 - A 10 08 48.15 +12 16 28.4
V220 RRc 0.3124520 22.94 22.69 22.73 22.29 0.66 0.58 0.31 - B 10 08 48.32 +12 19 24.6
V221 RRab 0.665057 22.76 22.50 22.10 21.72 1.20 1.02 0.64 - C 10 08 48.38 +12 26 51.8
V222 RRab 0.566679 23.06 22.77 22.46 22.27 1.05 0.95 0.60 - A 10 08 48.43 +12 17 58.0
V223 RRab 0.562598 22.91 22.72 22.55 22.35 0.86 0.74 0.38 - B 10 08 48.54 +12 17 52.5
V224 RRab 0.647379 23.07 22.68 22.48 21.97 0.52 0.33 0.38 - B 10 08 48.68 +12 18 47.6
V225 RRc 0.379586 23.01 22.70 22.40 22.15 0.54 0.43 0.40 - A 10 08 48.95 +12 21 41.2
V226 RRc 0.2637345 22.76 22.50 22.55 22.15 0.58 0.50 0.24 - B 10 08 49.17 +12 21 26.3
V227 RRab 0.644914 23.07 22.64 22.42 22.04 0.64 0.44 0.50 - C 10 08 49.36 +12 14 52.0
V228 RRab 0.600145 23.10 22.74 22.46 22.08 1.00 0.83 0.34 - A 10 08 50.71 +12 18 00.0
V229 RRab 0.5929263 22.92 22.71 22.74 22.31 1.49 1.02 0.41 - A 10 08 51.38 +12 21 54.3
V230 RRab 0.565908 22.98 22.67 22.42 22.21 1.06 0.81 - - B 10 08 51.67 +12 15 56.6
V231 RRab 0.623239 23.04 22.59 22.46 21.90 0.65 0.65 0.34 - B 10 08 51.73 +12 29 06.5
V232 RRab 0.581134 22.98 22.66 22.33 21.90 1.12 0.90 0.43 - A 10 08 52.03 +12 21 00.5
V234 RRab 0.719480 22.96 22.56 22.46 21.82 1.08 0.97 0.52 - A 10 08 52.99 +12 21 57.9
V235 RRab 0.6603587 22.84 22.48 22.16 21.80 1.98 1.07 0.76 - A 10 08 53.20 +12 15 39.3
V236 RRab 0.5605958 22.99 22.62 22.77 22.02 1.03 1.04 0.35 - A 10 08 54.82 +12 22 16.3
V237 RRab 0.592160 22.86 22.51 22.38 21.94 1.22 1.23 0.42 - A 10 08 55.31 +12 17 41.1
V239 RRab 0.6390675 22.85 22.60 22.23 22.28 1.01 0.77 0.83 - A 10 08 55.60 +12 21 25.1
V240 RRab 0.601778 23.03 22.74 22.49 22.37 0.99 1.02 - - C 10 08 55.82 +12 14 50.7
V243 RRc 0.358956 23.02 22.64 22.49 22.07 0.47 0.46 0.45 - B 10 08 57.04 +12 13 02.4
V244 RRc 0.3881747 22.97 22.67 22.53 22.20 0.59 0.50 0.43 - B 10 08 58.23 +12 24 54.3
V245 RRab 0.541998 23.16 22.65 22.44 22.18 0.36 0.79 0.54 - A 10 08 59.99 +12 19 49.4
V246 RRab 0.5475991 23.07 22.66 22.27 22.20 1.06 0.90 - - B 10 09 01.43 +12 12 07.4
V247 RRab 0.68277 22.86 22.46 22.51 21.91 1.79 1.14 - - B 10 09 04.52 +12 20 41.4
V249 RRab 0.59676 22.96 22.67 22.62 22.07 0.75 0.69 - - B 10 09 06.66 +12 21 17.7
V250 RRab 0.58273 22.94 22.70 22.77 22.28 0.64 0.59 - - C 10 09 08.17 +12 24 32.1
V251 RRab 0.574 23.22 22.72 22.20 22.22 1.42 1.07 - - C 10 09 09.47 +12 19 26.3
