Var   HST   RA(2000.0)   Dec(2000.0)  dist    dist     dist    dist   OGLE-RRLYR-ID         OGLE_ID_I        P             dP          OGLE_ID_V  Type    V       Vmax    Vmin    I       Imax   Imin     Amp_I  Remarks
V10   -     18:55:12.02  -30:37:36.3   9.009  100.095  10.986  1.201  OGLE-BLG-RRLYR-37643  BLG708.09.1500     0.58775172  0.00000103  761        RRab    18.283  -       -       17.551  -       -       0.413  field object
V11   -     18:54:54.81  -30:46:55.6  18.227  202.523  22.228  2.430  OGLE-BLG-RRLYR-37523  BLG708.01.14772    0.48775877  0.00000464  -          RRab    -       -       -       17.694  -       -       0.854  field object
V12   -     18:54:46.07  -30:32:52.4   5.520   61.333   6.732  0.736  -                     BLG708.09.15710    0.32268301  0.00000049  14796      RRd     16.486  -       -       16.200  -       -       0.277  P2=0.43572515 d, Amp_I2=0.068 mag
V13   -     18:54:45.07  -30:21:13.2   8.535   94.834  10.409  1.138  OGLE-BLG-RRLYR-37510  BLG708.18.1833     0.57865688  0.00000068  966        RRab    18.240  -       -       17.562  -       -       0.523  field object
V14   -     18:55:21.86  -30:25:14.4   5.345   59.392   6.519  0.713  -                     -                  -           -           -          RRab    -       -       -       -       -       -       -      in the gap between OGLE CCDs, unknown membership
V15   -     18:55:13.29  -30:29:46.6   2.361   26.232   2.879  0.315  OGLE-BLG-RRLYR-37649  BLG708.09.18418    0.58687146  0.00000015  15878      RRab    18.197  -       -       17.549  -       -       0.529  -
V16   -     18:55:08.81  -30:43:53.3  15.143  168.250  18.466  2.019  OGLE-BLG-RRLYR-37625  BLG708.09.936      0.44452607  0.00000036  964        RRab    18.530  -       -       17.929  -       -       0.835  field object
V17   -     18:55:56.90  -30:36:03.6  13.627  151.417  16.619  1.817  OGLE-BLG-RRLYR-37706  BLG708.08.15174    0.46582078  0.00000136  14173      RRab    18.431  -       -       17.760  -       -       0.633  field object
V18   -     18:55:42.66  -30:22:27.1  10.590  117.671  12.915  1.412  -                     BLG708.17.277      0.30117     0.00001     254        EW      -       16.273  17.410  -       15.599  16.165  0.566  -
V19   -     18:53:25.71  -30:31:45.2  21.229  235.882  25.889  2.831  OGLE-BLG-RRLYR-37454  BLG708.11.15255    0.4704495   0.0000013   14033      RRab    16.087  -       -       15.553  -       -       0.785  field object
V20   -     18:55:11.50  -30:27:09.1   2.406   26.736   2.934  0.321  -                     BLG708.18.1166     -           -           -          -       -       -       -       -       -       -       -      confirmed to be non-variable
V21   -     18:55:09.41  -30:32:32.7   3.975   44.168   4.848  0.530  -                     BLG708.09.15346    -           -           -          -       -       -       -       -       -       -       -      confirmed to be non-variable
V22   -     18:55:02.47  -30:31:31.4   2.738   30.422   3.339  0.365  -                     BLG708.09.15359    -           -           -          -       -       -       -       -       -       -       -      confirmed to be non-variable
V23   -     18:55:30.73  -30:25:31.1   6.753   75.034   8.235  0.900  OGLE-BLG-RRLYR-37673  BLG708.17.1037     0.51767182  0.00000025  447        RRab    18.227  -       -       17.596  -       -       0.765  -
V24   -     18:55:38.24  -30:27:51.2   7.581   84.232   9.245  1.011  -                     BLG708.08.14619    -           -           -          -       -       -       -       -       -       -       -      confirmed to be non-variable
V25   -     18:54:58.31  -30:27:34.4   1.629   18.103   1.987  0.217  -                     BLG708.09.15114  100.          -           -          SR      -       -       -       13.405  13.216  13.727  0.511  -
V26   -     18:55:17.76  -30:31:15.3   3.966   44.062   4.836  0.529  -                     BLG708.09.16579    -           -           -          -       -       -       -       -       -       -       -      confirmed to be non-variable
V27   -     18:55:19.39  -30:33:49.6   6.108   67.863   7.448  0.814  -                     BLG708.09.16392    -           -           -          -       -       -       -       -       -       -       -      confirmed to be non-variable
V28   -     18:55:08.65  -30:26:02.9   2.973   33.037   3.626  0.396  OGLE-BLG-RRLYR-37623  BLG708.18.1333     0.51305173  0.00000037  662        RRab    18.214  -       -       17.580  -       -       0.810  different period (Pold=0.5088 d)
V29   -     18:54:53.44  -30:29:32.8   2.260   25.115   2.757  0.301  OGLE-BLG-RRLYR-37519  BLG708.09.18505    0.58972767  0.00000221  15937      RRab    18.372  -       -       17.563  -       -       0.458  -
V30   -     18:55:03.48  -30:27:25.5   1.367   15.190   1.667  0.182  -                     BLG708.09.19403    -           -           -          RRab    -       -       -       -       -       -       -      in the gap between OGLE CCDs, member
V31   -     18:54:55.77  -30:29:54.5   1.975   21.940   2.408  0.263  OGLE-BLG-RRLYR-37528  BLG708.09.18391    0.64661439  0.00000258  15860      RRab    18.196  -       -       17.470  -       -       0.304  -
V32   -     18:54:49.53  -30:27:44.2   3.155   35.060   3.848  0.421  OGLE-BLG-RRLYR-37514  BLG708.09.19338    0.52132223  0.00000037  16646      RRab    18.133  -       -       17.544  -       -       0.819  different period (Pold=0.5191 d)
V33   -     18:55:09.39  -30:30:26.2   2.100   23.333   2.561  0.280  OGLE-BLG-RRLYR-37631  BLG708.09.18275    0.49109134  0.00000031  17450      RRab    18.363  -       -       17.625  -       -       0.791  -
V34   -     18:54:59.37  -30:31:19.1   2.667   29.630   3.252  0.356  OGLE-BLG-RRLYR-37541  BLG708.09.18142    0.5034017   0.0000018   15656      RRab    18.228  -       -       17.623  -       -       0.611  -
V35   -     18:54:57.07  -30:27:54.2   1.615   17.946   1.970  0.215  OGLE-BLG-RRLYR-37533  BLG708.09.19293    0.52673059  0.00000037  16596      RRab    18.233  -       -       17.561  -       -       0.744  -
V36   -     18:55:13.27  -30:27:49.6   2.349   26.103   2.865  0.313  OGLE-BLG-RRLYR-37648  BLG708.09.19310    0.59903599  0.00000226  16618      RRab    18.194  -       -       17.493  -       -       0.430  -
V37   -     18:55:06.83  -30:29:26.7   0.998   11.085   1.217  0.133  OGLE-BLG-RRLYR-37617  BLG708.09.18531    0.62746037  0.00000213  17709      RRab    18.231  -       -       17.505  -       -       0.317  -
V38   -     18:54:58.20  -30:28:11.0   1.262   14.019   1.539  0.168  OGLE-BLG-RRLYR-37538  BLG708.09.19197    0.61112951  0.00000212  16509      RRab    18.043  -       -       17.340  -       -       0.311  -
V39   -     18:54:55.76  -30:29:51.2   1.946   21.621   2.373  0.259  OGLE-BLG-RRLYR-37527  BLG708.09.18406    0.59959584  0.00000389  15869      RRab    18.265  -       -       17.545  -       -       0.435  -
V40   -     18:54:59.59  -30:30:36.8   1.992   22.131   2.429  0.266  OGLE-BLG-RRLYR-37543  BLG708.09.16636    0.58636895  0.00000092  15740      RRab    18.192  -       -       17.502  -       -       0.476  -
V41   -     18:55:13.25  -30:27:55.7   2.305   25.615   2.811  0.307  OGLE-BLG-RRLYR-37647  BLG708.09.19279    0.61766637  0.00000072  16581      RRab    18.128  -       -       17.433  -       -       0.643  -
V42   -     18:55:08.81  -30:27:46.6   1.557   17.302   1.899  0.208  OGLE-BLG-RRLYR-37626  BLG708.09.19325    0.32643353  0.00000047  16634      RRc     18.204  -       -       17.665  -       -       0.315  -
V43   -     18:54:51.62  -30:27:57.3   2.658   29.538   3.242  0.354  OGLE-BLG-RRLYR-37516  BLG708.09.19278    0.59000070  0.00000152  16580      RRab    18.242  -       -       17.522  -       -       0.547  -
V44   -     18:55:04.54  -30:30:05.3   1.323   14.696   1.613  0.176  OGLE-BLG-RRLYR-37599  BLG708.09.18349    0.61777335  0.00000317  15824      RRab    18.304  -       -       17.523  -       -       0.384  different period (Pold=0.6207 d)
V45   -     18:55:12.88  -30:30:28.7   2.660   29.556   3.244  0.355  OGLE-BLG-RRLYR-37646  BLG708.09.18265    0.48877567  0.00000129  15754      RRab    18.251  -       -       17.614  -       -       0.482  -
V46   VC44  18:55:00.74  -30:29:25.3   0.842    9.351   1.026  0.112  OGLE-BLG-RRLYR-37552  BLG708.09.18543    0.60474790  0.00000294  15965      RRab    18.145  -       -       17.355  -       -       0.379  -
V47   -     18:55:01.04  -30:27:11.6   1.673   18.587   2.040  0.223  OGLE-BLG-RRLYR-37554  BLG708.18.1162     0.50691097  0.00000152  531        RRab    18.234  -       -       17.589  -       -       0.530  -
V48   -     18:55:23.17  -30:29:21.0   4.310   47.894   5.257  0.575  OGLE-BLG-RRLYR-37659  BLG708.08.15001    0.68701416  0.00000139  14011      RRab    18.144  -       -       17.419  -       -       0.450  -
V49   -     18:54:56.28  -30:31:01.6   2.702   30.022   3.295  0.360  OGLE-BLG-RRLYR-37532  BLG708.09.18181    0.33127791  0.00000040  15695      RRc     18.088  -       -       17.562  -       -       0.255  -
V50   -     18:55:11.32  -30:27:40.7   2.050   22.782   2.500  0.273  OGLE-BLG-RRLYR-37640  BLG708.09.19349    0.56416137  0.00000372  16655      RRab    18.204  -       -       17.560  -       -       0.492  -
V51   -     18:55:19.90  -30:25:18.3   4.992   55.464   6.087  0.666  OGLE-BLG-RRLYR-37657  BLG708.18.676      0.60542499  0.00000156  720        RRab    18.279  -       -       17.512  -       -       0.456  -
V52   -     18:55:10.64  -30:29:31.3   1.736   19.286   2.117  0.231  OGLE-BLG-RRLYR-37636  BLG708.09.18503    0.64078882  0.00000250  15938      RRab    18.218  -       -       17.469  -       -       0.259  different period (Pold=0.6386 d)
V53   -     18:54:58.94  -30:30:01.6   1.555   17.283   1.897  0.207  -                     BLG708.09.18362    -           -           -          -       -       -       -       -       -       -       -      confirmed to be non-variable
V54   -     18:54:53.84  -30:23:25.7   5.741   63.784   7.001  0.765  OGLE-BLG-RRLYR-37521  BLG708.18.1634     0.57039837  0.00000289  861        RRab    18.215  -       -       17.558  -       -       0.520  -
V55   -     18:55:15.41  -30:32:02.5   4.163   46.253   5.077  0.555  OGLE-BLG-RRLYR-37651  BLG708.09.18060    0.42605258  0.00000039  17263      RRab    18.704  -       -       18.000  -       -       0.717  field object
V56   -     18:54:38.15  -30:31:01.0   5.862   65.130   7.148  0.782  -                     -                  0.3677      -           -          RRc     -       -       -       -       -       -       -      in the gap between OGLE CCDs, member
V57   -     18:55:26.06  -30:29:04.2   4.905   54.499   5.982  0.654  OGLE-BLG-RRLYR-37666  BLG708.08.15819    0.54662843  0.00000055  14027      RRab    18.231  -       -       17.561  -       -       0.664  -
V58   -     18:55:09.25  -30:24:25.2   4.554   50.602   5.554  0.607  OGLE-BLG-RRLYR-37630  BLG708.18.1522     0.54865790  0.00000113  791        RRab    18.241  -       -       17.593  -       -       0.633  -
V59   -     18:54:47.62  -30:33:04.6   5.459   60.656   6.657  0.728  OGLE-BLG-RRLYR-37512  BLG708.09.17948    0.59943171  0.00000130  15517      RRab    18.255  -       -       17.546  -       -       0.463  -
V60   -     18:54:43.67  -30:32:52.6   5.883   65.361   7.174  0.784  OGLE-BLG-RRLYR-37509  BLG708.09.17970    0.56957864  0.00000151  17176      RRab    18.344  -       -       17.608  -       -       0.520  -
V61   -     18:54:59.95  -30:27:01.3   1.914   21.267   2.334  0.255  OGLE-BLG-RRLYR-37547  BLG708.18.1198     0.60390830  0.00000103  558        RRab    18.201  -       -       17.508  -       -       0.515  -
V62   -     18:54:56.12  -30:27:14.3   2.197   24.412   2.679  0.293  OGLE-BLG-RRLYR-37531  BLG708.18.1155     0.61356767  0.00000225  527        RRab    18.244  -       -       17.526  -       -       0.377  -
V63   -     18:55:00.90  -30:30:58.4   2.244   24.928   2.736  0.299  OGLE-BLG-RRLYR-37553  BLG708.09.18191    0.59014188  0.00000146  17381      RRab    18.323  -       -       17.539  -       -       0.496  -
V64   -     18:55:24.95  -30:36:48.0   9.261  102.903  11.294  1.235  -                     BLG708.08.66      34.          -           155        SR      16.099  15.795  16.350  14.133  13.963  14.384  0.421  -
V65   -     18:55:21.70  -30:25:52.0   4.923   54.700   6.004  0.656  -                     -                  0.5748      -           -          RRab    -       -       -       -       -       -       -      in the gap between OGLE CCDs, field object
V66   -     18:55:20.81  -30:25:11.1   5.216   57.958   6.361  0.695  -                     -                  -           -           -          SR      -       -       -       -       -       -       -      bright/saturated star at the edge of the OGLE CCD
V67   -     18:55:03.38  -30:27:36.8   1.178   13.093   1.437  0.157  OGLE-BLG-RRLYR-37587  BLG708.09.17484    0.59035195  0.00000157  -          RRab    -       -       -       17.394  -       -       0.487  -
V68   -     18:54:13.19  -30:23:36.8  11.988  133.204  14.620  1.598  OGLE-BLG-RRLYR-37488  BLG708.19.638      0.54148258  0.00000049  630        RRab    18.100  -       -       17.494  -       -       0.669  field object
V69   -     18:54:37.54  -30:24:18.6   7.142   79.355   8.710  0.952  OGLE-BLG-RRLYR-37505  BLG708.19.934      0.68340452  0.00000009  258        RRab    18.180  -       -       17.382  -       -       0.532  -
V70   -     18:55:14.70  -30:35:41.9   7.327   81.414   8.936  0.977  -                     BLG708.09.15304    0.397299    0.00001     14730      EB      -       16.922  18.256  -       15.113  15.771  0.658  different period (Pold=0.6798 d), Vmin uncertain
V71   -     18:55:00.80  -30:27:02.2   1.838   20.420   2.241  0.245  -                     BLG708.18.2       79.          -           44         SR      15.011  14.901  15.133  13.352  13.259  13.476  0.217  -
V72   -     18:54:58.56  -30:26:19.8   2.668   29.642   3.253  0.356  -                     BLG708.18.131      -           -           -          -       -       -       -       -       -       -       -      confirmed to be non-variable
V73   -     18:55:04.35  -30:27:43.4   1.091   12.119   1.330  0.145  -                     BLG708.09.15281    -           -           -          -       -       -       -       -       -       -       -      non-variable (misclassified as a possible RR Lyr)
V74   -     18:55:12.65  -30:30:59.9   2.983   33.145   3.638  0.398  OGLE-BLG-RRLYR-37645  BLG708.09.18185    0.28892256  0.00000019  15696      RRc     18.163  -       -       17.657  -       -       0.341  -
V75   -     18:55:04.68  -30:27:25.6   1.396   15.507   1.702  0.186  -                     BLG708.09.17509    0.5846      -           -          RRab    -       -       -       -       -       -       -      close to edge
V76   VC47  18:54:55.78  -30:29:09.9   1.669   18.543   2.035  0.223  OGLE-BLG-RRLYR-37529  BLG708.09.16939    0.70699678  0.00000118  16056      RRab    18.104  -       -       17.344  -       -       0.415  -
V77   -     18:54:55.09  -30:29:30.8   1.916   21.291   2.337  0.255  OGLE-BLG-RRLYR-37524  BLG708.09.18517    0.57690445  0.00000085  17691      RRab    18.178  -       -       17.520  -       -       0.536  -
V78   -     18:55:09.20  -30:28:55.3   1.271   14.126   1.550  0.170  OGLE-BLG-RRLYR-37629  BLG708.09.18798    0.40193684  0.00000102  16154      RRc     18.015  -       -       17.450  -       -       0.242  -
V79   -     18:55:06.05  -30:29:28.3   0.898    9.973   1.095  0.120  -                     BLG708.09.26513    -           -           -          -       -       -       -       -       -       -       -      non-variable
V80   -     18:55:08.66  -30:29:31.4   1.362   15.128   1.660  0.182  OGLE-BLG-RRLYR-37624  BLG708.09.18504    0.58373598  0.00000124  15939      RRab    18.169  -       -       17.504  -       -       0.511  different period (Pold=0.6394 d)
V81   -     18:55:06.85  -30:28:33.0   0.796    8.845   0.971  0.106  -                     BLG708.09.17207    -           -           -          -       -       -       -       -       -       -       -      non-variable
V82   -     18:55:00.01  -30:29:31.2   1.021   11.342   1.245  0.136  OGLE-BLG-RRLYR-37548  BLG708.09.18509    0.58718159  0.00000100  15941      RRab    18.180  -       -       17.407  -       -       0.438  -
V83   -     18:54:53.97  -30:33:24.7   5.040   56.003   6.147  0.672  OGLE-BLG-RRLYR-37522  BLG708.09.17917    0.57826469  0.00000324  15501      RRab    18.219  -       -       17.558  -       -       0.455  -
V84   -     18:55:02.81  -30:29:35.9   0.814    9.049   0.993  0.109  OGLE-BLG-RRLYR-37577  BLG708.09.18475    0.59972025  0.00000098  15916      RRab    18.033  -       -       17.364  -       -       0.669  -
V85   -     18:55:02.04  -30:30:16.3   1.506   16.732   1.836  0.201  OGLE-BLG-RRLYR-37569  BLG708.09.16685    0.52049875  0.00000151  15787      RRab    18.117  -       -       17.490  -       -       0.529  -
V86   -     18:55:08.55  -30:29:30.1   1.330   14.777   1.622  0.177  -                     BLG708.09.16827    -           -           -          -       -       -       -       -       -       -       -      non-variable (misclassified as the RR Lyr variable V80)
V87   -     18:55:11.35  -30:29:10.6   1.770   19.669   2.159  0.236  OGLE-BLG-RRLYR-37641  BLG708.09.18661    0.55507571  0.00000122  16039      RRab    18.249  -       -       17.561  -       -       0.610  -
V88   -     18:54:51.55  -30:25:47.7   3.928   43.643   4.790  0.524  OGLE-BLG-RRLYR-37515  BLG708.18.1365     0.49226882  0.00000089  684        RRab    18.266  -       -       17.621  -       -       0.600  -
V89   -     18:54:55.91  -30:25:16.6   3.862   42.909   4.710  0.515  OGLE-BLG-RRLYR-37530  BLG708.18.1435     0.59113696  0.00000089  724        RRab    18.297  -       -       17.535  -       -       0.499  different period (Pold=0.6108 d)
V90   -     18:55:07.95  -30:26:10.5   2.800   31.108   3.414  0.373  OGLE-BLG-RRLYR-37622  BLG708.18.1313     0.61306332  0.00000118  650        RRab    18.240  -       -       17.532  -       -       0.419  -
V91   -     18:55:26.96  -30:24:51.2   6.439   71.548   7.853  0.859  -                     BLG708.17.236      -           -           -          -       -       -       -       -       -       -       -      non-variable
V92   -     18:55:06.05  -30:28:38.4   0.605    6.726   0.738  0.081  OGLE-BLG-RRLYR-37611  BLG708.09.18961    0.48470649  0.00000103  16310      RRab    17.840  -       -       17.331  -       -       0.578  field object
V93   -     18:55:01.94  -30:25:41.2   3.119   34.660   3.804  0.416  OGLE-BLG-RRLYR-37567  BLG708.18.653      0.55809154  0.00000065  694        RRab    17.522  -       -       16.757  -       -       0.358  field object
V94   -     18:55:10.22  -30:24:38.5   4.408   48.976   5.375  0.588  OGLE-BLG-RRLYR-37634  BLG708.18.1498     0.65586052  0.00000412  778        RRab    18.268  -       -       17.511  -       -       0.188  -
V95   VC13  18:55:01.43  -30:29:59.1   1.262   14.018   1.539  0.168  OGLE-BLG-RRLYR-37560  BLG708.09.16737    0.55840732  0.00000084  15843      RRab    18.032  -       -       17.292  -       -       0.502  different period (Pold=0.5884 d)
V96   -     18:55:25.10  -30:34:19.6   7.252   80.580   8.844  0.967  OGLE-BLG-RRLYR-37663  BLG708.08.15313    0.56106661  0.00000080  13758      RRab    18.181  -       -       17.538  -       -       0.621  -
V97   -     18:55:05.59  -30:27:59.5   0.937   10.406   1.142  0.125  OGLE-BLG-RRLYR-37607  BLG708.09.19263    0.33673477  0.00000055  16569      RRc     18.136  -       -       17.596  -       -       0.259  -
V98   -     18:55:10.78  -30:29:12.7   1.659   18.434   2.023  0.221  OGLE-BLG-RRLYR-37637  BLG708.09.18641    0.62438781  0.00000175  16027      RRab    18.202  -       -       17.496  -       -       0.342  -
V99   -     18:54:57.11  -30:25:44.2   3.336   37.070   4.069  0.445  -                     BLG708.18.1372     0.346529    0.00000347  687        EW      -       17.899  18.782  -       17.415  17.603  0.188  -
V100  -     18:55:02.16  -30:28:07.5   0.713    7.919   0.869  0.095  -                     BLG708.09.19216    -           -           -          -       -       -       -       -       -       -       -      confirmed to be non-variable
V101  -     18:54:43.56  -30:28:55.5   4.261   47.350   5.197  0.568  -                     BLG708.09.15082   61.          -           15034      SR      16.566  16.125  16.853  13.843  13.613  14.272  0.659  -
V102  -     18:55:14.63  -30:33:12.4   5.041   56.010   6.147  0.672  -                     BLG708.09.15139   80.          -           14782      SR      16.809  16.688  16.926  13.878  13.774  14.014  0.240  -
V103  -     18:54:57.22  -30:28:54.3   1.321   14.680   1.611  0.176  -                     BLG708.09.15081  131.          -           15036      SR      17.453  16.778  18.132  12.773  12.322  13.114  0.792  -
V104  -     18:54:58.79  -30:25:35.2   3.351   37.235   4.087  0.447  -                     BLG708.18.18     410.          -           132        SR      16.015  15.714  16.329  13.435  13.246  13.675  0.429  -
V105  -     18:54:54.15  -30:28:09.9   2.075   23.055   2.530  0.277  -                     BLG708.09.15106   37.          -           14679      SR      15.982  15.899  16.035  13.483  13.422  13.588  0.166  -
V106  -     18:55:02.13  -30:33:09.4   4.373   48.585   5.332  0.583  -                     BLG708.09.15064   38.          -           14308      SR      15.500  15.472  15.575  13.321  13.268  13.395  0.127  -
V107  -     18:55:04.93  -30:28:49.4   0.346    3.846   0.422  0.046  -                     BLG708.09.15615    -           -           -          -       -       -       -       -       -       -       -      non-variable, misclassified as a SR
V108  -     18:55:21.39  -30:25:20.3   5.204   57.824   6.347  0.694  -                     -                  -           -           -          SR      -       -       -       -       -       -       -      in the gap between OGLE CCDs
V109  -     18:55:13.47  -30:26:42.5   3.019   33.548   3.682  0.403  -                     BLG708.18.5       33.          -           47         SR      15.354  15.250  15.405  13.747  13.686  13.789  0.103  -
V110  -     18:55:14.40  -30:28:13.1   2.453   27.258   2.992  0.327  -                     BLG708.09.15104   60.          -           14376      SR      15.245  15.151  15.357  13.517  13.456  13.578  0.122  -
V111  -     18:55:01.13  -30:28:27.1   0.583    6.482   0.711  0.078  -                     BLG708.09.15099   75.          -           -          SR      -       -       -       13.619  13.531  13.725  0.194  -
V112  -     18:55:02.01  -30:28:35.3   0.350    3.885   0.426  0.047  -                     BLG708.09.15093   90.          -           14366      SR      15.242  15.108  15.329  13.525  13.383  13.716  0.333  -
V113  -     18:54:52.22  -30:29:13.0   2.431   27.011   2.965  0.324  -                     BLG708.09.15075    -           -           14332      SR      15.356  15.294  15.402  13.695  13.657  13.742  0.085  -
V114  -     18:54:54.36  -30:33:43.0   5.290   58.778   6.451  0.705  -                     BLG708.09.15061   27.          -           14430      SR      16.070  15.983  16.134  13.699  13.659  13.743  0.084  -
V115  -     18:54:59.48  -30:28:19.5   0.952   10.576   1.161  0.127  -                     BLG708.09.15102   45.          -           14374      SR      15.236  15.125  15.357  13.432  13.361  13.535  0.174  -
V116  -     18:55:09.20  -30:25:34.4   3.458   38.424   4.217  0.461  -                     BLG708.18.2593     1.54221     0.00001     1489       EA      -       18.973  20.538  -       19.020  19.840  0.820  different period (Pold=0.4096 d), Vmin uncertain
V117  -     18:55:20.01  -30:25:44.2   4.718   52.425   5.754  0.629  -                     BLG708.18.1367     0.328783    0.000003    1466       EW      -       18.584  19.521  -       17.976  18.278  0.302  -
V118  -     18:55:23.31  -30:31:04.4   4.871   54.117   5.940  0.649  OGLE-BLG-RRLYR-37660  BLG708.08.15618    0.62674532  0.00000375  13924      RRab    18.379  -       -       17.621  -       -       0.240  -
V119  -     18:55:18.47  -30:31:49.4   4.452   49.467   5.429  0.594  OGLE-BLG-RRLYR-37654  BLG708.09.15355    0.63541895  0.00000134  -          RRab    15.828  -       -       15.075  -       -       0.270  field object
V120  -     18:55:10.84  -30:27:47.6   1.901   21.128   2.319  0.254  OGLE-BLG-RRLYR-37638  BLG708.09.17448    0.73622322  0.00000485  16629      RRab    18.096  -       -       17.355  -       -       0.309  -
V121  -     18:55:10.35  -30:27:48.6   1.803   20.037   2.199  0.240  OGLE-BLG-RRLYR-37635  BLG708.09.17445    0.74783381  0.00000571  16623      RRab    17.662  -       -       16.813  -       -       0.152  field object
V122  -     18:55:09.80  -30:27:31.8   1.880   20.893   2.293  0.251  OGLE-BLG-RRLYR-37632  BLG708.09.19374    0.64932137  0.00000397  -          RRab    -       -       -       17.420  -       -       0.216  -
V123  -     18:55:03.13  -30:28:04.9   0.711    7.903   0.867  0.095  OGLE-BLG-RRLYR-37583  BLG708.09.19229    0.51384641  0.00000173  16544      RRab    18.057  -       -       17.359  -       -       0.527  -
V124  -     18:55:09.05  -30:29:44.2   1.553   17.254   1.894  0.207  OGLE-BLG-RRLYR-37628  BLG708.09.18423    0.58286111  0.00000113  15885      RRab    18.117  -       -       17.465  -       -       0.498  -
V125  -     18:55:06.10  -30:27:49.0   1.143   12.702   1.394  0.152  OGLE-BLG-RRLYR-37613  BLG708.09.17447    0.73354843  0.00000484  16624      RRab    18.097  -       -       17.327  -       -       0.310  -
V126  -     18:55:04.54  -30:27:42.4   1.116   12.399   1.361  0.149  OGLE-BLG-RRLYR-37600  BLG708.09.19344    0.35172235  0.00000090  16650      RRc     18.060  -       -       17.518  -       -       0.244  -
V127  VC2   18:55:02.97  -30:27:52.3   0.923   10.258   1.126  0.123  OGLE-BLG-RRLYR-37580  BLG708.09.17432    0.59208979  0.00000358  16607      RRab    18.132  -       -       17.395  -       -       0.351  -
V128  -     18:55:00.60  -30:28:35.3   0.622    6.915   0.759  0.083  OGLE-BLG-RRLYR-37551  BLG708.09.16043    0.67944185  0.00000353  -          RRab    17.376  -       -       16.877  -       -       0.279  -
V129  VC17  18:54:55.20  -30:29:09.3   1.789   19.876   2.181  0.239  OGLE-BLG-RRLYR-37526  BLG708.09.16941    0.60205530  0.00000095  16063      RRab    18.145  -       -       17.581  -       -       0.450  -
V130  -     18:55:00.16  -30:28:12.9   0.894    9.932   1.090  0.119  OGLE-BLG-RRLYR-37549  BLG708.09.19183    0.67602859  0.00000593  18320      RRab    18.276  -       -       17.536  -       -       0.197  -
V131  -     18:54:55.12  -30:31:04.6   2.889   32.102   3.523  0.385  OGLE-BLG-RRLYR-37525  BLG708.09.18173    0.63577385  0.00000248  15690      RRab    18.274  -       -       17.514  -       -       0.253  -
V132  -     18:55:01.10  -30:28:54.9   0.496    5.512   0.605  0.066  OGLE-BLG-RRLYR-37555  BLG708.09.28936    0.66010717  0.00000167  20544      RRab    18.301  -       -       17.446  -       -       0.607  -
V133  -     18:55:00.39  -30:29:24.2   0.881    9.784   1.074  0.117  OGLE-BLG-RRLYR-37550  BLG708.09.18551    0.36481754  0.00000070  15969      RRc     18.034  -       -       17.425  -       -       0.226  -
V134  -     18:55:08.73  -30:24:00.0   4.931   54.790   6.014  0.657  -                     BLG708.18.2877     0.91189566  0.00000182  1674       EW      18.769  -       -       18.560  -       -       0.397  -
